,Year,id,rspm
0,2011.0,2.0,0.2629803224276908
1,2011.0,5.0,0.5267676767676768
2,2011.0,6.0,0.33885672937771344
3,2011.0,7.0,0.45965215617715616
4,2011.0,8.0,0.07952380952380952
5,2011.0,9.0,0.08
6,2011.0,10.0,0.7406850574712643
7,2011.0,11.0,0.3148310209889719
8,2011.0,12.0,0.2944564657393096
9,2011.0,13.0,0.4797646165527715
10,2011.0,14.0,0.3099860763018658
11,2011.0,15.0,0.3531182795698925
12,2011.0,16.0,0.6323215898825655
13,2011.0,17.0,0.2349603460706561
14,2011.0,18.0,0.14182817050569235
15,2011.0,20.0,0.45446415573049864
16,2011.0,21.0,0.3703123521060104
17,2011.0,23.0,0.3000210970464135
18,2011.0,24.0,0.13173928830795206
19,2011.0,25.0,0.2744711538461539
20,2011.0,,0.3097822606474544
21,2011.0,27.0,0.13956709956709956
22,2011.0,28.0,0.5486343545191281
23,2011.0,29.0,0.5431331987891019
24,2011.0,31.0,0.26061926115737777
25,2011.0,34.0,0.5373231361251751
26,2011.0,,0.5326034309517657
27,2011.0,36.0,0.39074295473953885
28,2012.0,2.0,0.2588733012306046
29,2012.0,4.0,0.27358217798317336
30,2012.0,5.0,0.5388796680497925
31,2012.0,6.0,0.3704965859714463
32,2012.0,7.0,0.32723283793347485
33,2012.0,8.0,
34,2012.0,9.0,
35,2012.0,10.0,0.7893287037037037
36,2012.0,11.0,0.27122549019607844
37,2012.0,12.0,0.31644501312335954
38,2012.0,13.0,0.5322147766323023
39,2012.0,14.0,0.30978582760444207
40,2012.0,15.0,0.39820261437908494
41,2012.0,16.0,0.5806656580937973
42,2012.0,17.0,0.2928205083260294
43,2012.0,18.0,0.1812950875987633
44,2012.0,20.0,0.41436702399183256
45,2012.0,21.0,0.3454927795253074
46,2012.0,23.0,0.2419302745098039
47,2012.0,24.0,0.1810874704491726
48,2012.0,,0.2824106104651161
49,2012.0,27.0,0.13372463768115941
50,2012.0,28.0,0.5385775160599572
51,2012.0,29.0,0.5551274340208473
52,2012.0,31.0,0.24155248597407625
53,2012.0,34.0,0.6339744539132138
54,2012.0,,0.6013861842105263
55,2012.0,36.0,0.3538251783893986
56,2013.0,2.0,0.25549165268791435
57,2013.0,4.0,0.41560472518056063
58,2013.0,6.0,0.33815419501133787
59,2013.0,7.0,0.3935617283950617
60,2013.0,10.0,0.7607011070110701
61,2013.0,11.0,0.17792202490304143
62,2013.0,12.0,0.2865327184892402
63,2013.0,13.0,0.6354277286135693
64,2013.0,14.0,0.303996638220843
65,2013.0,15.0,0.39364444444444446
66,2013.0,16.0,0.5036800073906873
67,2013.0,17.0,0.27367830961621387
68,2013.0,18.0,0.18391044776119403
69,2013.0,20.0,0.4835384963768115
70,2013.0,21.0,0.33354459152311466
71,2013.0,23.0,0.19558502340093603
72,2013.0,24.0,0.16238722905682484
73,2013.0,25.0,0.3092881072026801
74,2013.0,,0.286510821166356
75,2013.0,27.0,0.14294117647058824
76,2013.0,28.0,0.5210036900369004
77,2013.0,29.0,0.5757042404719325
78,2013.0,31.0,0.2386741791875348
79,2013.0,34.0,0.6157392996108949
80,2013.0,,0.47281538461538464
81,2013.0,36.0,0.5249775395610005
82,2014.0,2.0,0.2496562097120756
83,2014.0,3.0,0.23133333333333336
84,2014.0,4.0,0.26914523634582416
85,2014.0,6.0,0.3036880400181901
86,2014.0,7.0,0.3871070460704607
87,2014.0,10.0,0.7237104283054003
88,2014.0,11.0,0.18530864197530866
89,2014.0,12.0,0.2900239717387333
90,2014.0,13.0,0.5946165191740413
91,2014.0,14.0,0.29895183691751337
92,2014.0,15.0,0.4099627560521415
93,2014.0,16.0,0.5430913091309131
94,2014.0,17.0,0.29583007104538206
95,2014.0,18.0,0.16987818515869865
96,2014.0,20.0,0.40483036244781145
97,2014.0,21.0,0.3530389866583606
98,2014.0,23.0,0.18952302631578946
99,2014.0,24.0,0.1435662768029532
100,2014.0,,0.2994427818155907
101,2014.0,27.0,0.13325020781379884
102,2014.0,28.0,0.4398355424644084
103,2014.0,29.0,0.5387009803922133
104,2014.0,31.0,0.2083142028985507
105,2014.0,32.0,0.29963835616438356
106,2014.0,34.0,0.5977434392206693
107,2014.0,36.0,0.3843912051441609
108,2015.0,2.0,0.24410962396430846
109,2015.0,3.0,0.267683615819209
110,2015.0,4.0,0.3137735179268725
111,2015.0,6.0,0.28489008524001797
112,2015.0,7.0,0.37174066243833687
113,2015.0,8.0,0.2955813953488372
114,2015.0,9.0,0.27689393939393936
115,2015.0,10.0,0.729449749886312
116,2015.0,11.0,0.1846936416184971
117,2015.0,12.0,0.28989197530864197
118,2015.0,13.0,0.34863636363636363
119,2015.0,14.0,0.2657476705212293
120,2015.0,15.0,0.41761029411764705
121,2015.0,16.0,0.5338930659983292
122,2015.0,17.0,0.30108095208988295
123,2015.0,18.0,0.15315443592552028
124,2015.0,20.0,0.35687045123726346
125,2015.0,21.0,0.33671928062371453
126,2015.0,23.0,0.19026119402985076
127,2015.0,24.0,0.13313939393939395
128,2015.0,25.0,0.3593734335839599
129,2015.0,,0.29433667781493866
130,2015.0,27.0,0.11589399744572158
131,2015.0,28.0,0.39950070821529743
132,2015.0,29.0,0.5295787207872078
133,2015.0,31.0,0.204320987654321
134,2015.0,32.0,0.2697644506431117
135,2015.0,34.0,0.5992479091997849
136,2015.0,,0.4723310810810811
137,2015.0,36.0,0.35403712606837606
